primary_location,total_cases,avg_severity,avg_recency,total_risk,normalized_risk,lat,lon
Abohar,1,3,0.1,0.3,0.3,30.1450543,74.1956597
Agra,1,1,0.170673996,0.170673996,0.170673996,27.1752554,78.0098161
Ahmedabad,3,2.333333333,0.1,0.7,0.233333333,23.0215374,72.5800568
Ahmednagar,1,3,0.1,0.3,0.3,19.1627725,74.8580243
Ahyundaiverna,1,3,0.1,0.3,0.3,,
Aizawl,1,3,0.1,0.3,0.3,23.7277631,92.7179947
Akhtara,1,1,0.1,0.1,0.1,,
Akole,1,3,0.1,0.3,0.3,19.5419344,74.0092582
Aligarh,1,3,0.1,0.3,0.3,27.8761073,78.1358153
Alwar,1,1,0.917594231,0.917594231,0.917594231,27.4140049,76.6170387
Amarpur,1,2,0.1,0.2,0.2,23.5155013,91.6548554
Ambani,1,3,0.25,0.75,0.75,23.188408,72.6279691
America,1,1,0.1,0.1,0.1,40.3764599,-79.1194757
Amritsar,1,1,0.953133787,0.953133787,0.953133787,31.6356659,74.8787496
Anand,1,3,0.1,0.3,0.3,22.5586555,72.9627227
Angul,1,1,0.1,0.1,0.1,21.102538,84.9536825
Assam,5,2.2,0.275648047,3.734720705,0.746944141,26.4073841,93.2551303
Austin,1,1,0.990049834,0.990049834,0.990049834,12.9612736,77.6152935
Bachupally,1,3,0.549910358,1.649731073,1.649731073,17.5410548,78.3635484
Badaun,9,3,0.1,2.7,0.3,28.0649367,79.043832
Baheri,1,3,0.1,0.3,0.3,28.7781228,79.500543
Bandipore,1,1,0.1,0.1,0.1,34.4563234,74.6825
Barala,2,2,0.1,0.4,0.2,24.2659911,88.16174
Basantpur Rudal Village,1,1,0.988071713,0.988071713,0.988071713,,
Beeran,1,3,0.1,0.3,0.3,28.582336,75.5885124
Bengaluru,4,1.5,0.1375,0.75,0.1875,12.9767936,77.590082
Bhatpurva Village,1,3,0.1,0.3,0.3,,
Bhiwandi,1,3,0.620022197,1.860066591,1.860066591,19.3025562,73.0588072
Bhopal,3,2.666666667,0.97693852,7.81811159,2.606037197,23.2584857,77.401989
Bhubaneswar,1,3,0.848742022,2.546226066,2.546226066,20.2602964,85.8394521
Bihar,11,1.363636364,0.195091635,3.442015979,0.312910544,25.6440845,85.906508
