primary_location,total_cases,avg_severity,avg_recency,total_risk,normalized_risk,lat,lon
Abohar,1,3.0,0.1,0.30000000000000004,0.30000000000000004,30.1450543,74.1956597
Agra,1,1.0,0.17067399569626215,0.17067399569626215,0.17067399569626215,27.1752554,78.0098161
Ahmedabad,3,2.3333333333333335,0.10000000000000002,0.7000000000000001,0.23333333333333336,23.0215374,72.5800568
Ahmednagar,1,3.0,0.1,0.30000000000000004,0.30000000000000004,19.1627725,74.8580243
Ahyundaiverna,1,3.0,0.1,0.30000000000000004,0.30000000000000004,,
Aizawl,1,3.0,0.1,0.30000000000000004,0.30000000000000004,23.7277631,92.7179947
Akhtara,1,1.0,0.1,0.1,0.1,,
Akole,1,3.0,0.1,0.30000000000000004,0.30000000000000004,19.5419344,74.0092582
Aligarh,1,3.0,0.1,0.30000000000000004,0.30000000000000004,27.8761073,78.1358153
Alwar,1,1.0,0.9175942312201509,0.9175942312201509,0.9175942312201509,27.4140049,76.6170387
Amarpur,1,2.0,0.1,0.2,0.2,23.5155013,91.6548554
Ambani,1,3.0,0.25,0.75,0.75,23.188408,72.6279691
America,1,1.0,0.1,0.1,0.1,40.3764599,-79.1194757
Amritsar,1,1.0,0.9531337870775047,0.9531337870775047,0.9531337870775047,31.6356659,74.8787496
Anand,1,3.0,0.1,0.30000000000000004,0.30000000000000004,22.5586555,72.9627227
Angul,1,1.0,0.1,0.1,0.1,21.102538,84.9536825
Assam,5,2.2,0.275648047010242,3.73472070515363,0.746944141030726,26.4073841,93.2551303
Austin,1,1.0,0.9900498337491681,0.9900498337491681,0.9900498337491681,12.9612736,77.6152935
Bachupally,1,3.0,0.5499103577216016,1.6497310731648047,1.6497310731648047,17.5410548,78.3635484
Badaun,9,3.0,0.1,2.7,0.30000000000000004,28.0649367,79.043832
Baheri,1,3.0,0.1,0.30000000000000004,0.30000000000000004,,
Bandipore,1,1.0,0.1,0.1,0.1,,
Barala,2,2.0,0.1,0.4,0.2,,
